nace_r2;geo;n2015
B06;UKH3; 
B06;UKI;2583
B06;UKI1; 
B06;UKI2; 
B06;UKI3;1791
B06;UKI4; 
B06;UKI5;0
B06;UKI6; 
B06;UKI7; 
B06;UKJ;1096
B06;UKJ1; 
B06;UKJ2;150
B06;UKJ3; 
B06;UKJ4; 
B06;UKK; 
B06;UKK1; 
B06;UKK2; 
B06;UKK3;0
B06;UKK4;0
B06;UKL; 
B06;UKL1; 
B06;UKL2; 
B06;UKM; 
B06;UKM2; 
B06;UKM3; 
B06;UKM5;11242
B06;UKM6;147
B06;UKN;0
B06;UKN0;0
B07;AT; 
B07;AT1;0
B07;AT11;0
B07;AT12;0
B07;AT13;0
B07;AT2; 
B07;AT21; 
B07;AT22; 
B07;AT3; 
B07;AT31;0
B07;AT32; 
B07;AT33;0
B07;AT34;0
B07;BE;0
B07;BE1;0
B07;BE10;0
B07;BE2;0
B07;BE21;0
B07;BE22;0
B07;BE23;0
B07;BE24;0
B07;BE25;0
B07;BE3;0
B07;BE31;0
B07;BE32;0
B07;BE33;0
B07;BE34;0
B07;BE35;0
B07;BG;6835
B07;BG3; 
B07;BG31; 
B07;BG32;0
B07;BG33; 
B07;BG34;0
B07;BG4; 
B07;BG41; 
B07;BG42;3780
B07;CY;0
B07;CY0;0
B07;CY00;0
B07;CZ; 
B07;CZ0; 
B07;CZ01; 
B07;CZ02; 
B07;CZ03; 
B07;CZ04;0
B07;CZ05; 
B07;CZ06; 
B07;CZ07; 
B07;CZ08; 
B07;CZZ; 
B07;CZZZ; 
B07;DE; 
B07;DE1;0
B07;DE11;0
B07;DE12;0
B07;DE13;0
B07;DE14;0
B07;DE2;0
B07;DE21;0
B07;DE22;0
B07;DE23;0
B07;DE24;0
B07;DE25;0
B07;DE26;0
B07;DE27;0
B07;DE3;0
B07;DE30;0
B07;DE4;0
B07;DE40;0
B07;DE41; 
B07;DE42; 
B07;DE5;0
B07;DE50;0
B07;DE6;0
B07;DE60;0
B07;DE7;0
B07;DE71;0
B07;DE72;0
B07;DE73;0
B07;DE8;0
B07;DE80;0
B07;DE9;0
B07;DE91;0
B07;DE92;0
B07;DE93;0
B07;DE94;0
B07;DEA; 
B07;DEA1;0
B07;DEA2;0
B07;DEA3;0
B07;DEA4; 
B07;DEA5;0
B07;DEB;0
B07;DEB1;0
B07;DEB2;0
B07;DEB3;0
B07;DEC;0
B07;DEC0;0
B07;DED;0
B07;DED1; 
B07;DED2;0
B07;DED3; 
B07;DED4;0
B07;DED5;0
B07;DEE;0
B07;DEE0;0
B07;DEF;0
B07;DEF0;0
B07;DEG;0
B07;DEG0;0
B07;DK;0
B07;DK0;0
B07;DK01;0
B07;DK02;0
B07;DK03;0
B07;DK04;0
